ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
1,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.0,0.0001166415117990861,500,3000,16,500,5,4.114071396986644,0.0871820330619812,20.52072819767424,25.61887543194335,NaN,NaN,0.008979641468031293,0.007048525748774025,0.008644822493044931,NaN,NaN,75.0629976686288,3.2283866653020246,0.06613317472148617,18.020106353661557,93.08310402229034,3.6957783643079796,3.3160226088656413,0.06238768615799655,0.0655728832956521,NaN,NaN,NaN,3.838984572798074,6.56772704307348,3.163612721737657
2,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,184.97997339033483,0.0002808496478586241,500,3000,512,500,13,4.223113465309143,15.744915334383647,7369.489640932023,3470.675793116143,NaN,NaN,5.1289278819670457e8,1.6906235645768693e8,3.944509591763935e8,NaN,NaN,233.55754427520566,61.911097048521775,14541.428676816082,51.860035517461526,285.4175797926672,53.61509023679124,60.3555957713223,9345.197650436603,13061.480515887744,NaN,NaN,NaN,298.17317931644055,1034.2435521272548,95.01670548551468
3,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,61.98990239422084,0.00010906968038849234,500,3000,511,500,11,4.098521165053049,0.86417631705602,3923.160739105849,3941.1884976205847,NaN,NaN,1.9234056422446396e7,2.3800067310419932e7,2.0032358684153605e7,NaN,NaN,326.9006505106115,56.91348389778485,2589.8046752003897,75.43287827574478,402.33352878635634,59.73483943561616,57.44248806112822,3188.199846969139,2694.929584136937,NaN,NaN,NaN,43937.534492283296,4775.849617549351,393.25014312145515
4,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,1.9371646986854332,0.0027337250901675143,500,3000,555,500,56,424.81268891890846,62.49829801718394,670.4150951076688,492.738046079409,NaN,NaN,0.7650099889565213,0.5045628774921137,0.704833949191903,NaN,NaN,180.0477352080469,20.884120333170774,0.6958807068924391,34.72761856328153,214.7753537713284,18.230094917779834,20.38649056778498,0.534904361080511,0.6614081253292876,NaN,NaN,NaN,11.501971744332108,104.68653713691386,46.466338087148465
5,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,8.432995795165677,0.0007179576082999873,500,3000,500,500,2,4.098296268781026,0.0653212825457255,19.83867121388561,70.32417835379208,NaN,NaN,0.008077965680876051,0.017452392781937713,0.010472231854322759,NaN,NaN,78.32963117579195,3.1771731961876877,0.06345619548627429,23.455734092281077,101.78536526807302,5.481646554479152,3.6092619508673374,0.08768108430734266,0.0688298567023989,NaN,NaN,NaN,5.184646214999292,8.348584436599472,4.517567207182954
6,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,298.4104532239085,0.008628357223533476,500,3000,505,500,5,3.0393025994300844,0.04622521797815959,3039.9755408867613,3257.892087400491,NaN,NaN,1.3262661151438534e24,1.6138632734279032e24,1.3738195559547455e24,NaN,NaN,300.1875112399716,45.51773559245807,7.719926937747067e11,69.27424342669552,369.46175466666716,50.141619523523275,46.384713829532785,9.226074013836157e11,7.979478416976969e11,NaN,NaN,NaN,2201.310443647316,2201.4310598596953,2201.149499018329
7,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,138.1920896279154,0.000363027849109449,500,3000,507,500,7,4.080853466192881,0.049118252595265706,3032.0107366546495,3251.8408488413065,NaN,NaN,1.312943493721806e24,1.608659668700642e24,1.3616590352345385e24,NaN,NaN,284.91345079995097,45.24164002760139,7.688782987414055e11,65.74969775302473,350.6631485529757,49.99176366544915,46.13228820969784,9.215564484857056e11,7.951382316201896e11,NaN,NaN,NaN,1497.2093408799428,1481.1395707483266,1483.9275076753574
8,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,13.503865360556649,0.00202364820211964,500,3000,516,500,17,9.845363700389862,1.9484464327494304,3183.4665512804227,3382.2707742770335,NaN,NaN,1.7239338567352834e9,8.46324201995203e8,1.4767009227175741e9,NaN,NaN,209.58700580718448,48.53097131317096,29747.49652821062,48.36593431493518,257.9529401221196,52.493521667230105,49.273949504557045,22418.98000904674,27915.34175804406,NaN,NaN,NaN,88.88202924136077,33.86179966990801,557.6231409381536
9,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,859.2495070333972,0.0001626179295391671,500,3000,500,500,1,28.184376883506776,2.198533817132314,21.49123894977092,26.601709949198096,NaN,NaN,0.009490980261390081,0.00755912986336707,0.009148969548309462,NaN,NaN,75.69089932397044,3.3586652603405653,0.06919638053886526,18.096433351995714,93.78733267596616,3.867953891946359,3.4541568787666512,0.06660860240951973,0.0688342991235493,NaN,NaN,NaN,3.8538651382466655,6.593622175830347,3.1537382628890396
10,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,171.3783241208248,0.0023536565628824897,500,3000,500,500,1,18.37007693052292,0.6868951479593913,127.36034695766281,169.23462760201105,NaN,NaN,0.06549353355564996,0.060167130304953895,0.06454695150387375,NaN,NaN,114.9777234037896,9.244667556813905,0.2097942212412426,29.10011096490327,144.07783436869286,10.172025597395011,9.418547189422862,0.1936807672089801,0.20635736707333974,NaN,NaN,NaN,6.741913710788169,11.533460187728622,5.387049321424565
